,
Kode,Keterangan
PR,Perencanaan
PR.01,Program dan Anggaran
PR.01.01,Rencana Strategis
PR.01.02,Trilateral Meeting
PR.01.03,Rencana Kerja
PR.01.04,Rencana Kerja dan Anggaran
PR.02,Evaluasi
PR.02.01,Unit Utama
PR.02.02,Kantor Wilayah
PR.03,Laporan Akuntabilitas Kinerja Instansi Pemerintah (LAKIP)
PR.04,Pelaporan
PR.04.01,Laporan Tetap
PR.04.02,Laporan Insidentil
PR.05,Rapat Kerja
PR.05.01,Dengan Dewan Perwakilan Rakyat (DPR)
PR.05.02,Tingkat Kementerian
PR.05.03,Tingkat Unit Utama (Rapat Kerja Teknis)
PR.05.04,Tingkat Kantor Wilayah
PR.05.05,Rapat Pimpinan dan Rapat Staf
PR.06,Sidang Kabinet
PR.06.01,Sidang Kabinet Terbatas
PR.06.02,Sidang Kabinet Paripurna
KU,Keuangan
KU.01,Pelaksanaan Anggaran
KU.01.01,"Pedoman, Petunjuk, dan Administrasi Pelaksanaan Anggaran"
KU.01.02,Daftar Isian Pelaksanaan Anggaran (DIPA)
KU.01.03,Penerimaan Negara Bukan Pajak (PNBP)
KU.02,Tata Usaha Keuangan
KU.02.01,Pedoman dan Petunjuk Administrasi Keuangan
KU.02.02,Penatausahaan Hibah
KU.02.03,Pejabat Perbendaharaan Negara
KU.02.04,Penyelesaian Kerugian Negara
KU.02.05,Penatausahaan Rekening Pemerintah
KU.03,Perbendaharaan
KU.03.01,Dokumen Pertanggungjawaban Belanja
KU.03.02,Buku Kas Umum dan Buku Pembantu
KU.03.03,Laporan Pertanggungjawaban (LPJ) Bendahara Pengeluaran
KU.03.04,LPJ Bendahara Penerimaan
KU.03.05,Penerimaan Negara Pajak
KU.04,Akuntansi dan Pelaporan
KU.04.01,Laporan Keuangan
KU.04.02,Rekonsiliasi dan Data Laporan Keuangan
KU.04.03,Penyelesaian Tindak Lanjut Temuan Hasil Pemeriksaan BPK dan Inspektorat Jenderal.
OT,Organisasi DAN TATA Laksana
OT.01,Organisasi dan Tata Kerja
OT.01.01,Organisasi dan Tata Kerja Kementerian
OT.01.02,Organisasi dan Tata Kerja Kantor Wilayah
OT.01.03,Organisasi dan Tata Kerja Unit Pelaksana Teknis (UPT)
OT.01.04,Evaluasi Kelembagaan
OT.02,Ketatalaksanaan
OT.02.01,Standarisasi Sarana Kerja
OT.02.02,"Sistem, Prosedur dan Metode Kerja"
OT.02.03,Analisa dan Uraian Jabatan
OT.03,Reformasi Birokrasi
OT.03.01,Penilaian Mandiri Pelaksanaan Reformasi Birokrasi (PMPRB)
OT.03.02,Zona Integritas (ZI)
OT.03.03,Evaluasi Reformasi Birokrasi
OT.04,Instruksi Menteri
SA,Sumber DAYA Manusia (SDM) Aparatur
SA.01,Formasi SDM Aparatur
